Identifiant,target,ft_2_categ,EXPO,ft_4_categ,ft_5_categ,ft_6_categ,ft_7_categ,ft_8_categ,ft_9_categ,ft_10_categ,ft_11_categ,ft_12_categ,ft_13_categ,ft_14_categ,ft_15_categ,ft_16_categ,ft_17_categ,ft_18_categ,ft_19_categ,superficief,ft_21_categ,ft_22_categ,ft_23_categ,ft_24_categ,Insee
7213,0,2013,"0,909589041",1,N,V,V,V,V,V,V,V,V,V,V,V,O,base,2,265,4,1960,0,   .,75112
11190,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,750,2,1960,0,   .,13201
6176,0,2014,"0,961643836",1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1000,4,1960,0,   .,75115
3760,0,2015,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,eff,2,800,1,1993,0,3,13004
9251,0,2014,"0,687671233",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500,2,,0,   .,59295
4846,0,2013,"0,128767123",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,480,2,1980,0,   .,21231
7524,0,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1850,2,1996,0.3,4,40065
17496,1,2012,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,6738,2,1960,0,4,78423
5808,1,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1918,1,1960,0,   .,42123
2676,0,2012,"0,196721311",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,634,1,1960,0,   .,61001
5068,0,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300,3,1960,0,   .,92025
18182,0,2012,"0,994535519",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,750,2,1950,0,4,42218
10826,0,2013,0,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,15,3,1988,0,   .,92025
3135,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,14200,2,1980,0,   .,14118
11215,0,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2970,1,1988,0,   .,74293
16099,1,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,2785,2,2005,0.6,3,69131
12871,0,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2050,1,2007,0,5,5061
12935,0,2013,"0,594520548",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1196,4,1980,0,   .,6088
11055,1,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3602,3,1960,0,   .,59599
6948,0,2016,"0,475409836",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700,2,1960,0,   .,13207
7543,1,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,8552,2,1980,0,   .,83129
6109,1,2015,"0,997260274",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1400,2,1980,0,   .,83115
4136,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2931,1,1980,0,   .,74268
18657,0,2012,"0,510928962",1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,1600,3,1900,0,7,67482
5573,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300,2,1988,0,   .,64237
10312,0,2012,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,11028,2,1960,0,7,66037
3744,1,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,684,1,,0,   .,42187
1273,1,2012,"0,74863388",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,840,2,1960,0,   .,14118
6524,1,2014,1,0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,2800,1,1970,0,5,13063
16876,0,2013,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2950,2,2010,0,4,69238
2047,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450,2,1980,0,   .,67447
18710,1,2012,"0,445355191",0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,15000,2,1970,0,5,57463
2225,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,746,2,1980,0,   .,68271
11022,0,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,150,2,1960,0,   .,13206
8183,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3600,3,,0,   .,2B033
12296,1,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3216,1,1980,0,   .,15014
16129,1,2013,1,1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,660,2,1950,0,4,78481
14468,1,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2464,2,1960,0,   .,95018
17122,0,2013,"0,487671233",0,V,N,1,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,base,1,300,2,1930,0.3,2,59636
18587,0,2012,"0,56010929",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,887,1,2007,0,4,74279
3247,0,2014,0,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300,2,,0,   .,13206
3999,1,2014,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,6122,3,1980,0,   .,94041
6424,1,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4650,2,1980,0,   .,83069
14165,0,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,366,1,1988,0,   .,17411
8903,1,2014,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,2,3138,4,1970,0,8,6083
977,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1600,1,1980,0,   .,72132
350,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1740,1,1980,0,   .,63075
11973,0,2013,"0,150684932",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3900,2,1960,0,   .,38548
7179,0,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,177,2,1988,0,   .,38563
124,1,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,560,3,1960,0,   .,83137
7803,0,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500,4,1980,0,   .,6083
9919,1,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,570,2,,0,   .,13204
18088,0,2016,"0,99726776",0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,eff,2,3700,1,1965,0.3,6,50147
2341,0,2012,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,800,1,1960,0,3,49007
14780,0,2015,"0,747945205",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,200,2,1960,0,   .,31555
15346,1,2012,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,3500,2,1957,0.3,4,13204
13991,1,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,250,2,1960,0,   .,13001
9515,0,2016,"0,99726776",1,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,5310,4,1965,0,7,6083
18128,0,2014,"0,084931507",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,280,4,1940,0,2,6088
8366,0,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,300,4,1990,0.6,3,6088
8890,1,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2659,4,1980,0,   .,6083
10292,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1540,1,1988,0,   .,74258
16964,0,2013,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2552,4,1998,0.3,8,75114
7635,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1800,3,1960,0,   .,2A004
5864,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,150,2,1980,0,   .,30133
14353,0,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1000,3,1960,0,   .,92040
11865,0,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,1,840,1,1945,0,4,74123
6635,1,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,650,1,1920,0.6,3,86194
14413,1,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2208,1,1980,0,   .,13071
3682,0,2016,"0,99726776",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,2500,2,1900,0,5,63113
1534,0,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,2073,1,1990,0.3,4,74058
13643,0,2016,"0,99726776",1,N,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,2146,4,1900,0,7,75114
16084,0,2013,1,1,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1200,2,1989,0.3,4,34108
8493,0,2016,1,0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,340,4,1920,0.6,4,6029
3859,0,2016,"0,99726776",0,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,base,2,1670,1,1970,0,6,15014
11353,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,750,2,1980,0,   .,29019
549,1,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1500,2,1960,0,   .,44109
18912,0,2013,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1135,3,2000,0.3,5,94058
18348,1,2013,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,630,2,1961,0,2,66037
18248,0,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1935,1,2012,0.3,2,74243
1658,1,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,432,2,1960,0,   .,13215
8831,0,2012,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,eff,2,2685,4,1989,0,4,6104
12657,1,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3100,1,1960,0,   .,16102
10886,0,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1278,1,1980,0,   .,74143
8076,0,2014,"0,41369863",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,800,2,,0,   .,59178
11795,0,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4169,2,1980,0,   .,56034
17009,0,2013,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3267,2,1960,0,6,34032
10044,0,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1600,1,2000,0,5,63075
12817,0,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,530,4,1980,0,   .,6079
18343,0,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,640,4,1951,0,4,6077
16116,0,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,10686,2,1976,0,>=10,13206
18619,0,2012,"0,50273224",0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,4250,2,1977,0,5,62826
8150,0,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,500,3,1903,0,3,38185
9653,1,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,342,2,1980,0,   .,66136
16410,1,2015,1,1,V,N,1,O,1,O,N,O,O,O,AUTRE,IDENTIQUE,V,eff,2,3640,4,1890,0.6,8,75101
13482,1,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1488,3,1960,0,   .,94067
2211,0,2013,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,base,2,335,2,,0,   .,13204
12578,0,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,914,1,1980,0,   .,43157
1350,0,2014,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,285,2,,0,   .,69201
9826,0,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700,2,1960,0,   .,13204
5225,0,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,240,2,1960,0,   .,64122
10330,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1500,1,1988,0,   .,37261
11593,0,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,35,4,,0,   .,75116
6636,0,2016,"0,99726776",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,650,1,1920,0.6,3,86194
16938,1,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2051,2,1990,0.3,2,66182
7870,0,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,525,2,1960,0,   .,60141
8864,0,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350,4,,0,   .,6083
15270,0,2013,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1400,2,2008,0,5,83009
12747,0,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,430,2,1988,0,   .,95052
17277,0,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,250,4,1890,0.6,5,6069
18558,0,2016,1,1,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,1,1700,V,   .,
9661,0,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1260,2,1960,0,   .,13204
13311,0,2015,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2640,3,1960,0.3,4,67482
3791,0,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,561,1,1960,0,   .,91174
12965,0,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,605,2,1980,0,   .,83118
14944,0,2013,"0,915068493",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,550,2,1960,0,   .,29019
14003,0,2014,"0,246575342",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,800,1,1988,0,   .,13056
5332,0,2012,"0,038251366",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1275,3,1960,0,   .,83137
15796,0,2016,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,350,2,1950,0,3,83137
9917,1,2013,"0,032876712",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300,2,1960,0,   .,13205
10398,1,2014,"0,747945205",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1680,2,1960,0,   .,13208
11227,0,2015,"0,246575342",0,V,N,1,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,pi,2,450,2,1950,0.3,2,14220
369,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,580,2,1980,0,   .,65440
13668,0,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,360,2,1960,0,   .,13208
17288,0,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,890,1,1970,0,3,58194
13720,0,2016,"0,745901639",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1100,2,1960,0,   .,13205
9248,1,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,870,2,,0,   .,59295
3188,0,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,420,1,1960,0,   .,63014
1586,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,5910,2,1980,0,   .,21231
6407,1,2015,1,0,V,N,V,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,500,2,1970,0,4,42218
1845,0,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,876,3,1960,0,   .,54395
6603,0,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1800,1,1960,0,   .,54184
7644,0,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,200,2,1960,0,   .,83112
8208,0,2016,"0,99726776",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1350,3,1930,0,6,2B033
6113,1,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,700,2,1980,0.6,3,83068
18002,0,2012,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,1029,4,1930,0,6,75117
9364,0,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350,3,,0,   .,93049
17474,0,2016,"0,99726776",1,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,1,400,3,1961,0,3,92072
14789,1,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,632,2,1960,0,   .,77371
3873,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,380,1,1960,0,   .,91174
13648,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1500,1,1960,0,   .,54329
2469,0,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1330,2,1988,0,3,14488
16904,0,2013,"0,035616438",0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,2,1970,V,   .,
16621,0,2016,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,700,3,1900,0,6,92040
3927,0,2013,"0,142465753",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,7200,2,1960,0,   .,26362
5847,0,2013,"0,736986301",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,899,2,1960,0,   .,38185
10932,0,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350,2,1960,0,   .,57306
19029,1,2015,1,1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,12310,3,1994,0,6,92071
5224,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450,3,1988,0,   .,94016
11070,0,2012,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,225,1,1980,0,3,17306
11904,0,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,770,3,,0,   .,93062
9703,0,2016,"0,994535519",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1670,2,1960,0,   .,90010
2760,1,2016,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,8820,2,1980,0,   .,14118
5471,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1670,1,1980,0,   .,46042
11646,0,2016,"0,967213115",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2272,2,1988,0,   .,31557
16647,0,2012,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,14350,2,1960,0,7,57368
14032,0,2016,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1765,4,1980,0,   .,75109
10143,0,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450,2,,0,   .,13205
16101,0,2015,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,3668,2,2007,0.6,3,69131
2009,0,2016,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,1836,1,1999,0,3,74011
17366,0,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,700,2,1942,0.3,2,13204
1095,0,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,450,2,1900,0.6,5,76540
18882,0,2015,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,812,3,1880,0,4,92071
13777,0,2015,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,6010,3,1975,0,9,92002
11500,0,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,750,1,1960,0,   .,33015
12189,0,2016,"0,967213115",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2980,2,1988,0,   .,31555
12424,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,200,2,1960,0,   .,30133
14771,0,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,534,2,1960,0,   .,34032
6515,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3200,2,1980,0,   .,68271
8350,0,2013,"0,942465753",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,270,3,1980,0,   .,59350
19862,0,2016,"0,75136612",1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,4230,2,1974,0,8,21231
11876,0,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,810,3,1960,0,   .,92075
13900,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2732,3,1980,0,   .,2B353
4284,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1325,3,1960,0,   .,54395
19529,0,2016,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,480,2,2003,0.6,3,68013
4108,1,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2400,2,,0,   .,13206
7983,0,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350,2,,0,   .,83126
15233,0,2014,1,1,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,2,1200,3,1960,0,4,94068
13669,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,360,2,1960,0,   .,13208
13919,1,2013,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,4400,4,1965,1,6,6088
12268,0,2016,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,149,2,1960,0,   .,44109
4141,0,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1773,1,1980,0,   .,74238
1288,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2075,1,1960,0,   .,88383
19079,0,2015,"0,161643836",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,432,1,1971,0,2,10333
16003,0,2016,1,0,V,N,3,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,pi,2,1200,1,1940,0.3,5,3310
15232,0,2015,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,2,1200,3,1960,0,5,94068
7505,0,2016,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,250,4,1930,0,3,6029
9618,0,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,1,1100,1,1976,0.3,5,74278
426,0,2016,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,765,2,1900,0,8,13205
5308,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3400,4,1980,0,   .,6104
11464,1,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3137,1,1980,0,   .,7102
14783,0,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700,1,1960,0,   .,54197
8739,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600,4,1960,0,   .,6159
10671,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500,2,1980,0,   .,26220
15526,0,2012,1,1,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,1285,3,1970,0,5,92073
1773,0,2012,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,210,2,,0,   .,62160
19972,0,2016,"0,147540984",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,200,1,2006,0.6,2,21209
7337,0,2013,0,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1000,2,1960,0,   .,13201
15810,1,2015,1,0,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,base,2,3904,1,2005,0,4,16015
9736,0,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,500,2,1950,0.6,4,13201
19920,0,2016,"0,50273224",0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,1,805,2,1900,0.6,4,57368
5481,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1640,3,1960,0,   .,54395
1487,0,2015,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,2724,2,1960,0,5,13209
13709,0,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2300,3,1980,0,   .,94067
12765,1,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,5855,1,1988,0,   .,84007
1215,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,550,2,1960,0,   .,90010
13805,0,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,250,1,1950,0.3,3,13056
8777,0,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450,4,,0,   .,6088
8795,0,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1100,4,,0,   .,75115
278,0,2016,"0,99726776",0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,2,3100,1,1960,0,4,63113
11216,0,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,900,2,1960,0,   .,42218
17473,1,2016,"0,99726776",1,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,1,2100,3,1910,0,6,92051
7618,0,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1200,3,1980,0,   .,2A004
11028,0,2013,"0,049315068",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,590,2,1960,0,   .,67021
17711,0,2013,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,4388,1,1975,0,6,17291
13438,0,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500,3,1960,0,   .,92024
3565,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500,2,,0,   .,21231
924,0,2014,1,0,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,base,2,2712,1,1997,0,5,74190
3,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,360,2,1960,0,   .,13205
